contact_id,priority,segment,outlet_or_community,role_or_contact_name,official_site_url,official_contact_page_url,public_contact_channel,contact_status,verified_on,why_fit,personalization_hook,hook_source_url,preferred_language,last_contacted,follow_up_due,notes
UZ-01,1,tech/business media,Spot.uz,Editorial desk,https://www.spot.uz/,https://www.spot.uz/ru/contact/,"Official contact form; info@spot.uz; Telegram @SpotuzFeedbackBot",verified_public_channel,2026-08-28,"Covers Uzbek consumer technology, services, climate events, and practical daily-life topics.","Their 12 August 2026 Central Asian Climate Science Forum notice focused on climate resilience and scientific data; pitch Nimbo as a free local consumer tool for everyday weather planning, not as a scientific or official source.",https://www.spot.uz/ru/2026/08/12/ecology-environment/,ru/uz,,,"Prepared only; public newsroom routes, no send. Re-verify the form and bot before owner-approved contact."
UZ-02,1,technology media,ICTNEWS,Editorial desk,https://ictnews.uz/,https://ictnews.uz/contacts/,info@ictnews.uz,verified_public_channel,2026-08-28,"Professional Uzbekistan ICT publication and industry discussion platform.","Their 24 April 2026 Huawei Digital Week coverage discussed AI agents, mobile applications, and the infrastructure behind digital services; offer Nimbo as a concrete local Kotlin Multiplatform product case with no commercial claims.",https://ictnews.uz/24/04/2026/huawei-digital-week/,ru,,,"Prepared only; generic editorial inbox, no send."
UZ-03,1,news/environment media,Gazeta.uz,Editorial desk,https://www.gazeta.uz/,https://t.me/GazetaUz,Telegram @GazetauzFeedbackBot,verified_public_channel,2026-08-28,"Publishes Uzbek and Russian public-interest reporting on weather, climate, air quality, and outdoor life.","Their public guide to 10 festivals around Uzbekistan highlighted open-air events and advance planning; introduce Nimbo specifically as a local tool for choosing when to go outside around such plans.",https://sp.gazeta.uz/page67180789.html,ru/uz,,,"Prepared only; bot verified through the official Telegram channel. The site's /contact endpoint returned 502 during verification, so re-check both routes before any send."
UZ-04,1,Uzbek news/weather media,Kun.uz,Editorial desk,https://kun.uz/,https://kun.uz/contact,"Official contact form; Telegram @kunuzmurojaat",verified_public_channel,2026-08-28,"Large Uzbek-language audience and recurring practical weather coverage.","Their 10 July 2026 weekend forecast covered 43-degree heat, dust, and mudflow risk; pitch the localized hourly view and Best Time Outside as a planning aid without safety guarantees.",https://kun.uz/news/2026/07/10/hafta-oxirida-yuqori-harorat-saqlanib-qoladi,uz,,,"Prepared only; public feedback routes, no send."
UZ-05,1,Uzbek news/weather media,Daryo.uz,Editorial desk,https://daryo.uz/,https://daryo.uz/aloqa-malumotlari,"Official contact form; info@simple.uz",verified_public_channel,2026-08-28,"Broad Uzbekistan consumer audience and frequent weather and air-quality reporting.","Their 12 August 2026 forecast warned Tashkent readers about 39–41-degree heat, wind gusts, and possible dust; introduce Nimbo around the same concrete question of when to go outside.",https://daryo.uz/2026/08/12/ozbekistonda-13-avgust-kuni-harorat-yana-kotarilishi-mumkin,uz,,,"Prepared only; generic newsroom route, no send."
UZ-06,1,business/weather media,Kursiv Uzbekistan,Editorial desk,https://uz.kursiv.media/,https://uz.kursiv.media/contacts/,post@kursiv.media,verified_public_channel,2026-08-28,"Covers business, consumer technology, severe weather, and its effects on daily life and infrastructure.","Their 7 August 2026 review of the record-hot July covered 49.7-degree heat, hot nights, hail, dust storms, and power demand; offer Nimbo as a free local consumer-tech adaptation story, not as an accuracy claim.",https://uz.kursiv.media/2026-08-07/pochti-50-gradusov-iyul-2026-goda-stal-odnim-iz-samyh-zharkih-v-istorii-uzbekistana/,ru/uz,,,"Prepared only; generic publication inbox, no send."
UZ-07,2,Russian news/AQI media,Podrobno.uz,Editorial desk,https://podrobno.uz/,https://podrobno.uz/about/,info@podrobno.uz,verified_public_channel,2026-08-28,"Russian-language Uzbekistan news outlet with technology, weather, and air-quality coverage.","Their 15 June 2026 warning linked dust storms to temporary air-quality deterioration and higher PM10; pitch Nimbo's weather/AQI context and cached last forecast without medical advice.",https://podrobno.uz/cat/obchestvo/tashkenttsev-predupredili-o-vozmozhnykh-pylnykh-buryakh-i-vremennom-ukhudshenii-kachestva-vozdukha/,ru,,,"Prepared only; generic newsroom inbox, no send."
UZ-08,2,English/Russian news/AQI media,UzDaily,Editorial desk,https://www.uzdaily.uz/,https://www.uzdaily.uz/ru/footer/o-nas/,info@uzdaily.com,verified_public_channel,2026-08-28,"Reaches Uzbekistan-focused Russian and English readers and reports on climate and air quality.","Their 31 January 2026 report explained PM2.5 accumulation during calm winds, temperature inversion, and fog; pitch Nimbo as a local consumer-mobile view combining weather and AQI context.",https://www.uzdaily.uz/ru/v-uzbekistane-ukhudshilos-kachestvo-vozdukha-iz-za-shtilia-temperaturnoi-inversii-i-tumana/,ru/en,,,"Prepared only; generic editorial inbox, no send."
UZ-09,2,lifestyle/news media,Repost.uz,Editorial desk,https://repost.uz/,https://repost.uz/info/contacts,Telegram @repostredactor,verified_public_channel,2026-08-28,"Urban lifestyle audience and practical coverage of Tashkent weather and air quality.","Their 27 July 2025 AQI post discussed elevated PM2.5 in Tashkent; pitch Nimbo as a practical weather/AQI and Best Time Outside tool while explicitly avoiding medical guidance.",https://repost.uz/vozduh-v-tash-2707,ru,,,"Prepared only; public editorial Telegram route, no send."
UZ-10,1,lifestyle/outdoor media,Afisha.uz,Editorial desk,https://www.afisha.uz/,https://www.afisha.uz/ru/contacts,"Telegram @AfishauzFeedbackBot; info@afisha.uz",verified_public_channel,2026-08-28,"Leading city leisure guide whose audience plans outdoor activities and already uses its weather service.","Their 11 August 2026 feature on Tashkent's running boom listed local running communities and routes; pitch hourly weather and AQI as a practical way for runners to choose a comfortable time.",https://www.afisha.uz/ru/sport/2026/08/11/running-in-tashkent,ru/uz,,,"Prepared only; public editorial channels, no send."
